,Date,Death,Injuries,Location_x,Location_y,High School Name,School Type,Others,description
0,1/7/13,1,0,"Fort Myers, Florida",,,,,"Shots were fired at Apostolic Revival Center Christian School, leaving 27-year-old Kristopher Smith dead in what was believed to be a retaliation killing, possibly for his talking with police about a previous incident.[426][427]"
1,1/10/13,0,2,"Taft, California","Taft, CA",Taft Union High School,High School,Attack on other persons(s) resulting in injury or death,"16-year-old student, Bryan Oliver, entered a science classroom of Taft Union High School with a shotgun and opened fire, critically wounding 16-year-old student Bowe Cleveland. He shot at but missed another student. The classroom teacher Ryan Heber convinced Oliver, to drop his weapon. He was later arrested. On January 14, he was charged with two counts of attempted murder and assault with a firearm.[428] He was convicted and accepted a plea deal with a sentence of 27 years and 4 months.[429] According to the attorney[430] for the Cleveland family, they were not satisfied with the sentence."
2,1/12/13,0,1,"Detroit, Michigan",,,,,A 16-year-old Osborn High School student is wounded after a basketball game.[428]
3,1/15/13,0,2,"St. Louis, Missouri","Hazard, KY",Hazard Community and Technical College,College or University,Attack on other persons(s) resulting in injury or death,"A 34-year-old gunman wounded an administrator in his office on the fourth floor of Stevens Institute of Business and Arts. The suspected gunman, Sean Johnson, a part-time student, wounded himself in a stairwell. Both the administrator and Johnson were hospitalized in stable conditions. Johnson was charged with three felony charges, including assault.[431][432]"
4,1/15/13,0,2,"St. Louis, Missouri","St. Louis, MO",Stevens Institute of Business & Arts,College or University,Attack on other persons(s) resulting in injury or death,"A 34-year-old gunman wounded an administrator in his office on the fourth floor of Stevens Institute of Business and Arts. The suspected gunman, Sean Johnson, a part-time student, wounded himself in a stairwell. Both the administrator and Johnson were hospitalized in stable conditions. Johnson was charged with three felony charges, including assault.[431][432]"
5,1/15/13,3,0,"Hazard, Kentucky","Hazard, KY",Hazard Community and Technical College,College or University,Attack on other persons(s) resulting in injury or death,"Two people were killed and a third person was wounded at the parking lot of Hazard Community and Technical College.[433] The third victim, 12-year-old Taylor Cornett, died from her wounds the next day.[434] 21-year-old Dalton Lee Stidham, was arrested and charged with three counts of murder."
6,1/15/13,3,0,"Hazard, Kentucky","St. Louis, MO",Stevens Institute of Business & Arts,College or University,Attack on other persons(s) resulting in injury or death,"Two people were killed and a third person was wounded at the parking lot of Hazard Community and Technical College.[433] The third victim, 12-year-old Taylor Cornett, died from her wounds the next day.[434] 21-year-old Dalton Lee Stidham, was arrested and charged with three counts of murder."
7,1/16/13,1,0,"Chicago, Illinois","Chicago, IL",Chicago State University,College or University,Attack on other persons(s) resulting in injury or death,"A 17-year-old boy, Tyrone Lawson, was killed in a parking lot of Chicago State University. The shooting happened after high school basketball games held on the campus, where Lawson had been a spectator. Police arrested two brothers, Michael McNabb, 33, and Brian Hewlett (under the alias Stephen Gilbert), 30 after the shooting and recovered a weapon.[428][435][436]"
8,1/22/13,0,3,"Houston, Texas","Houston, TX",Lone Star College North Harris Campus,College or University,Attack on other persons(s) resulting in injury or death,"Lone Star CollegeÃ¢â‚¬â€œNorth Harris shooting: Outside Lone Star CollegeÃ¢â‚¬â€œNorth Harris, two men got into an argument. One wounded the other. He also wounded a maintenance man, and accidentally shot himself in the leg. The shooter fled into the woods and was arrested hours later. The charges against the initial suspect were dropped and another man was arrested.[437]"
9,1/31/13,0,0,"Phoenix, Arizona","Atlanta, GA",Price Middle School,Middle School,Attack on other persons(s) resulting in injury or death,"An argument between two rival gangs escalated to what police described as a ""gun battle"" at Cesar Chavez High School. Approximately fifteen shots were fired in the vicinity of people waiting to get into a scheduled boys' basketball game. No one was injured.[438]"
10,1/31/13,0,2,"Atlanta, Georgia","Atlanta, GA",Price Middle School,Middle School,Attack on other persons(s) resulting in injury or death,"A 14-year-old male student was wounded at Price Middle School. The gunman, a 15-year-old student, was believed to be arguing with the other student before using a handgun to shoot him. A teacher was also wounded. Afterward, the gunman was disarmed by a school resource officer and arrested; police charged him with aggravated assault.[439][440]"
11,3/18/13,1,0,"Orlando, Florida","Orlando, FL",University of Central Florida,College or University,"Attempted or completed suicide, with no intent to injure other person","At the University of Central Florida, 30-year-old student James Oliver Seevakumaran pulled a fire alarm at the Tower One dormitory, to attract a crowd. He pointed a handgun at his roommate and threatened to shoot him in their room; he released the roommate, who ran out and called 9-1-1. Seevakumaran then fatally shot himself in the head. Authorities found an assault weapon, a couple hundred rounds of ammunition and four homemade bombs inside his backpack.[441]"
12,4/12/13,0,2,"Christiansburg, Virginia","Christiansburg, VA",New River Community College,College or University,Attack on other persons(s) resulting in injury or death,"New River Community College shooting incident: Two women were wounded during a shooting at the campus of New River Community College. 18-year-old Neil Allen MacInnis, was taken into custody. In June 2014, he was sentenced to 38 years in prison.[442]"
13,4/16/13,0,3,"Grambling, Louisiana","Tuscaloosa, AL",Stillman College,College or University,Attack on other persons(s) resulting in injury or death,Three students were injured on the campus of Grambling State University.[443]
14,4/18/13,1,0,"Cambridge, Massachusetts",,,,,"Three days after committing the Boston Marathon bombings, while still at large, the brothers Dzhokhar Tsarnaev and Tamerlan Tsarnaev shot and killed Massachusetts Institute of Technology campus police officer Sean Collier[444] in his patrol car near MIT's Ray and Maria Stata Center.[445] About three hours after the MIT shooting and after carjacking a vehicle, Tamerlan died in a gunfight with police in Watertown, Massachusetts. Another officer was seriously wounded. Shot in the neck and hiding in a boat parked nearby, Dzhokhar was arrested 18 hours later, and hospitalized in critical condition.[445] He was sentenced to death in 2015."
15,5/14/13,0,0,"Birmingham, Alabama",,,,,"Allegedly responding to a student fight, a mother of a student fired a weapon on the campus of Ossie Ware Mitchell Middle School. No one was injured.[446]"
16,6/7/13,6,4,"Santa Monica, California","Santa Monica, CA",Santa Monica College,College or University,Attack on other persons(s) resulting in injury or death,"2013 Santa Monica shooting: 23-year-old John Zawahri, began a killing spree at his home. After killing his 55-year-old father, Samir ""Sam"" Zawahri, and 25-year-old brother, Chris Zawahri, he set the house ablaze. Dressed all in black with body armor and wielding an AR-15-type semi-automatic rifle, Zawahri carjacked 41-year-old Laura Siska, shooting 50-year-old Debra Fine, as she attempted to intervene, before forcing Siska to drive to Santa Monica College. Upon arriving on the college campus, Zawahri began shooting at passing vehicles, including a police car and a city bus, leaving three people with minor injuries. Zawahri next targeted a Ford Explorer, killing the driver, 68-year-old campus groundskeeper, Carlos Navarro Franco, and fatally wounding the passenger, his 26-year-old daughter Marcela Diaz-Franco, a student at the college, who died two days later. 68-year-old Margarita Gomez, who was collecting cans outside the library, died after being shot in the abdomen and chest. Zawahri opened fire on students who were trying to run away. It ended at the college library where he opened fire on students studying for finals, before being fatally wounded in an exchange of gunfire with responding police officers.[447]"
17,8/20/13,0,0,"Decatur, Georgia","Decatur, GA",Ronald E. McNair Discovery Learning Academy,Elementary School,Gun fired but no one injured,"Armed with an AK-47 and other weapons,[448] 20-year-old Michael Brandon Hill fired six shots inside the front office of Ronald E. McNair Discovery Learning Academy. He barricaded himself in the office, where police returned fire. Nobody was injured. Children were evacuated. After talking with school bookkeeper, Antoinette Tuff in the front office, he was persuaded to surrender before anyone was hurt. Hill was arrested and charged.[449][450]"
18,8/23/13,1,2,"Sardis, Mississippi","Sardis, MS",North Panola High School,High School,Attack on other persons(s) resulting in injury or death,"15-year-old student, Roderick Bobo, was killed during a football game at North Panola High School in what was termed a gang-related shooting. Two others were injured in the shooting. Three men were charged as being responsible for the crime.[451]"
19,8/30/13,0,1,"Winston-Salem, North Carolina","Winston-Salem, NC",Carver High School,High School,Attack on other persons(s) resulting in injury or death,"A 15-year-old male student was shot at Carver High School, at 2:30Ã‚Â p.m.. He was hospitalized with minor injuries.[449] An 18-year-old male student was apprehended without further incident. The suspected gunman is charged with assault with a deadly weapon inflicting serious injury, carrying a concealed gun, possessing and discharging a firearm, and carrying a firearm onto educational property. The shooting was believed related to a dispute between the suspect and the victim.[452]"
20,10/4/13,0,2,"Pine Hills, Florida","Pine Hills, FL",Agape Christian Academy,Elementary School,Attack on other persons(s) resulting in injury or death,"A 16-year-old student was shot in the hip outside Agape Christian Academy after a fight broke out at 2Ã‚Â p.m.. An innocent bystander was hit by a stray bullet or shrapnel. The two victims were treated for minor injuries. The suspected shooter reportedly fled in a car with several other males, and was not caught.[453]"
21,10/21/13,2,2,"Sparks, Nevada","Sparks, NV",Sparks Middle School,Middle School,Attack on other persons(s) resulting in injury or death,"12-year-old seventh-grade student Jose Reyes opened fire with a handgun at the basketball courts of Sparks Middle School, injuring one student in the shoulder. Michael Landsberry, a teacher and veteran, tried to intervene and was killed by Reyes. Reyes also wounded a student trying to help the teacher. Reyes then committed suicide by shooting himself in the head.[411][449] The shooting happened before classes, and the school was evacuated and was closed for the week.[454]"
22,11/2/13,0,1,"Greensboro, North Carolina","Greensboro, NC",North Carolina A&T State University,Preschool,Attack on other persons(s) resulting in injury or death,A 21-year-old student was wounded at North Carolina A&T State University. The victim was hospitalized for serious but non-life-threatening injuries. The university was temporarily locked down that night. No suspects are in custody.[455]
23,11/3/13,0,2,"Lithonia, Georgia","Stone Mountain, GA",Stephenson High School,High School,Attack on other persons(s) resulting in injury or death,A Stephenson High School student and a janitor were shot in an apparent confrontation between football team members and a group of teens who were not attending the school. Both were innocent bystanders.[456]
24,11/13/13,0,3,"Pittsburgh, Pennsylvania",,,,,"After classes ended, at least one gunman came out of the woods and opened fire on three students as they were walking to their cars at Brashear High School. One student was grazed in the head, another was struck in the neck and shoulder, and a third was hit in the leg and foot. Six people were taken into custody. The shooting is believed to be drug-related.[457]"
25,12/4/13,0,1,"Winter Garden, Florida","Winter Garden, FL",West Orange High School,High School,Attack on other persons(s) resulting in injury or death,"A 15-year-old student was wounded by a 17-year-old student near a soccer field on the campus of West Orange High School. The shooting occurred after a fight broke out between the two students. The 17-year-old suspected shooter was taken into custody several miles away from the school, and is charged with attempted murder, aggravated battery with a firearm, possession of a firearm by a minor and possession of a firearm on school grounds. In October 2014, the shooter was sentenced to twenty-five years in prison.[458]"
26,12/13/13,2,0,"Centennial, Colorado","Centennial, CO",Arapahoe High School,High School,Attack on other persons(s) resulting in injury or death,"18-year-old Karl Pierson, shot 17-year-old student Claire Davis in the head, fatally injuring her, in a hallway in Arapahoe High School. Pierson then took his own life.[411] Pierson was armed with a shotgun, three Molotov cocktails, and a machete. His intention was to shoot the librarian who had disciplined him. Claire Davis died from her injuries on December 21, 2013.[459]"
27,12/19/13,0,1,"Fresno, California","Fresno, CA",Edison High School,High School,Attack on other persons(s) resulting in injury or death,"Four teens (16, 16, 16 and 17 years old) entered Edison High School in what was believed as a gang-initiation process. After accosting a 62-year-old woman about a mile away from school grounds, they found an athletic trainer who taught at Edison High and shot him several times in the leg and stomach.[460]"
28,1/9/14,0,1,"Jackson, Tennessee","Jackson, TN",Liberty Technology Magnet High School,High School,Attack on other persons(s) resulting in injury or death,A 16-year-old student was charged with bringing a gun to school at Liberty Technology Magnet High School and shooting a classmate in the thigh. The incident occurred outside the front of the school.[461]
29,1/13/14,0,1,"New Haven, Connecticut",,,,,"A 14-year-old boy was shot outside of a basketball game at the Hillhouse High School athletic facility, suffering wounds in his hand and leg.[cite]"
30,1/14/14,0,3,"Roswell, New Mexico","Roswell, NM",Berrendo Middle School,Middle School,Attack on other persons(s) resulting in injury or death,"Two people were wounded inside the gymnasium of Berrendo Middle School, at about 8:10Ã‚Â a.m.. An 11-year-old boy and a 13-year-old girl were airlifted to a hospital in Lubbock, Texas in critical condition. The 12-year-old suspected shooter, Mason Campbell, a seventh grade student, was apprehended at the scene after he was talked down by a staff member and dropped the shotgun. A staff member received minor injuries. Campbell was charged with three counts of aggravated battery with a deadly weapon. He was sentenced to a maximum sentence of confinement in a juvenile detention facility until he is twenty one years old.[462]"
31,1/17/14,0,2,"Philadelphia, Pennsylvania","Philadelphia, PA",Delaware Valley Charter High School,High School,Gun fired unintentionally resulting in injury or death,"A student allegedly shot two other students in the gymnasium at Delaware Valley Charter School. Both victims, a male and a female, were shot in the arm. They were taken to a nearby hospital and are in stable condition, police say. Police Commissioner Charles Ramsey said at a news conference that the shooter ran out of the school after the shooting but was taken into custody near his home. 17-year-old Raisheem Rochwell was arrested and charged as an adult for aggravated assault, recklessly endangering another person and firearms offenses. Rochwell was sentenced to two years of juvenile detention.[463]"
32,1/20/14,0,1,"Chester, Pennsylvania","Chester, PA",Widener University,College or University,Attack on other persons(s) resulting in injury or death,One person was critically injured at Widener University. The incident occurred around 10Ã‚Â p.m. outside the university sportÃ¢â‚¬â„¢s complex and led to an 8-hour university lock-down. The suspect was not immediately found.[464]
33,1/21/14,1,0,"West Lafayette, Indiana","West Lafayette, IN",Purdue University,College or University,Attack on other persons(s) resulting in injury or death,"A 21-year-old student, Andrew Boldt, was killed in a classroom building on the campus of Purdue University. 24-year-old student Cody Cousins was found guilty of the murder and was sentenced to sixty-five years of prison. In October 2014, Cousins committed suicide in his cell.[465]"
34,1/24/14,1,0,"Orangeburg, South Carolina","Orangeburg, SC",South Carolina State University,College or University,Attack on other persons(s) resulting in injury or death,A 20-year-old student was killed at South Carolina State University. A 19-year-old was arrested and charged with murder.[466]
35,1/25/14,1,0,"Los Angeles, California",,,,,A man was killed at Los Angeles Valley College. Two suspects were arrested in the fatal shooting.[467]
36,1/27/14,0,1,"Carbondale, Illinois",,,,,A group of students at Rebound High School got in an argument in the school's parking lot. One student pulled out a gun and shot another student in the ensuing altercation. An 18-year-old suspect is facing charges of attempted murder.[468]
37,1/28/14,0,1,"Nashville, Tennessee","Nashville, TN",Tennessee State University,College or University,Attack on other persons(s) resulting in injury or death,One student was shot in the leg in an apparent altercation over a gambling debt at Tennessee State University.[469]
38,1/28/14,0,1,"Nashville, Tennessee","Grambling, LA",Grambling State University,College or University,Attack on other persons(s) resulting in injury or death,One student was shot in the leg in an apparent altercation over a gambling debt at Tennessee State University.[469]
39,1/30/14,0,1,"Palm Bay, Florida",,,,,Three students were fighting in a parking lot of Eastern Florida State College and one pulled out a gun and shot another of the students. All three students claimed self-defense.[470]
40,1/31/14,0,1,"Des Moines, Iowa","Phoenix, AZ",Cesar Chavez High School,High School,Gun fired but no one injured,"After a basketball game at North High School, there was gunfire in a parking lot of the school. Six males in a black jeep had come moments before the shooting and returned at the time it happened. A 15-year-old girl was injured by a ricocheting bullet. While officers were gaining control of the area, teachers on the scene led students into the school building for safety.[471]"
41,1/31/14,0,1,"Des Moines, Iowa","Des Moines, IA",North High School,High School,Attack on other persons(s) resulting in injury or death,"After a basketball game at North High School, there was gunfire in a parking lot of the school. Six males in a black jeep had come moments before the shooting and returned at the time it happened. A 15-year-old girl was injured by a ricocheting bullet. While officers were gaining control of the area, teachers on the scene led students into the school building for safety.[471]"
42,2/10/14,0,1,"Salisbury, North Carolina","Salisbury, NC",Salisbury High School,High School,Attack on other persons(s) resulting in injury or death,"A 16-year-old student was shot in the stomach on the campus of Salisbury High School during a dispute in the school gym. 17-year-old suspect was charged with assault with a deadly weapon with intent to kill inflicting serious injury, possession of a firearm on school property and discharging a weapon on school property.[472]"
43,2/10/14,0,0,"Lyndhurst, Ohio","Salisbury, NC",Salisbury High School,High School,Attack on other persons(s) resulting in injury or death,"Five shots were fired in the parking lot of Charles F. Brush High School, including one which hit an unoccupied police car. No one was reported to be injured, though a school basketball game was going on at the time.[473]"
44,2/12/14,0,1,"Los Angeles, California","Jackson, TN",Union University,College or University,Attack on other persons(s) resulting in injury or death,A male victim was shot in the back in a possible gang-related drive-by shooting near the University of Southern California. The suspect fled into the University Campus. The victim was last reported in stable condition before being transported to a local hospital.[474]
45,2/22/14,0,1,"Augusta, Georgia",,,,,"A shooting involving a campus police officer occurred at a Georgia Regents University dormitory complex. A male suspect entered a vehicle and nearly struck an officer, who opened fire. The suspect was taken to Georgia Regents Medical Center with injuries that were not believed to be critical.[475]"
46,3/12/14,1,0,"Miami, Florida",,,,,An elementary school teacher was killed outside The Academy of Knowledge Preschool by her husband.
47,3/25/14,0,0,"College Park, Georgia",,,,,"An argument between students led to shots being fired in a Benjamin Banneker High School parking lot during the afternoon. Investigators believe multiple people were present when shots were fired, but it was not known how many could face charges for the incident. No one was injured in the shooting.[476]"
48,4/9/14,0,0,"Greenville, North Carolina",,,,,"Just after the lunch hour, at D. H. Conley High School, a car drove past the school and witnesses said an occupant reached out of a car window and fired shots in the direction of the school. This incident occurred on Worthington and Tull Roads, directly in front of the school. No one was injured.[477]"
49,4/11/14,1,0,"Detroit, Michigan","Detroit, MI",East English Village Preparatory Academy,High School,Attack on other persons(s) resulting in injury or death,"After a Friday evening student awards ceremony called ""Grammy Night"", four men who were affiliated with a gang fired into a crowd in the parking lot of East English Village Preparatory Academy. One 19-year-old, Darryl Smith, was fatally shot in the head. Smith was not a student at the academy.[478]"
50,5/4/14,0,1,"Augusta, Georgia","Augusta, GA",Paine College,College or University,Attack on other persons(s) resulting in injury or death,"Two men fired shots inside a dormitory at Paine College on Sunday, injuring one student in the head. Neither of the suspects were students at the college.[479]"
51,5/5/14,0,1,"Augusta, Georgia","Augusta, GA",Paine College,College or University,Attack on other persons(s) resulting in injury or death,An active shooter situation was reported at Paine College on Monday with one person reported to be shot. The suspect was apparently apprehended and in custody. It was the second shooting incident to occur at the college campus in two days.[480]
52,5/8/14,0,1,"Lawrenceville, Georgia","Georgetown, KY",Georgetown College,College or University,Gun fired unintentionally resulting in injury or death,"A person was shot on a student parking lot roof at Georgia Gwinnett College, receiving an injury. The specific cause has not been identified.[481]"
53,5/8/14,0,1,"Lawrenceville, Georgia","Lawrenceville, GA",Georgia Gwinnett College,College or University,"Attempted or completed suicide, with no intent to injure other person","A person was shot on a student parking lot roof at Georgia Gwinnett College, receiving an injury. The specific cause has not been identified.[481]"
54,5/14/14,0,1,"Richmond, California",,,,,A 14-year-old student was injured during a drive-by shooting in front of John F. Kennedy High School at 8:30Ã‚Â a.m.. He was shot as he was running towards the school campus after a fight took place. The student suffered a serious but stable injury to his leg. Police are searching for a suspect.[482]
55,6/5/14,1,3,"Seattle, Washington","Seattle, WA",Seattle Pacific University,College or University,Attack on other persons(s) resulting in injury or death,"19-year-old students, Paul Lee and Sarah Williams, and 24-year-old student, Thomas Fowler, were shot inside a hallway of Otto Miller Hall at Seattle Pacific University.[483] Freshman Lee was rushed to Harborview Medical Center but later died. The shooter was subdued with pepper spray and tackled to the ground by student building monitor, Jon Meis, as he paused to reload his shotgun. 26-year-old Aaron Rey Ybarra was arrested at the scene and has been charged with premeditated and attempted murder.[484]"
56,6/10/14,2,1,"Troutdale, Oregon","Troutdale, OR",Reynolds High School,High School,Attack on other persons(s) resulting in injury or death,"At around 8:30Ã‚Â a.m. shots were fired at Reynolds High School. 14-year-old freshman Emilio Hoffman was killed, a physical education teacher was injured, and the gunman, 15-year-old Jared Padgett, exchanged gunfire with police officers and then committed suicide in a restroom stall.[411][485]"
57,9/9/14,0,1,"Miami, Florida",,,,,"Towards the end of the school day, one alternative school student in Miami was shot as a small group of students tussled. The injury was minor, requiring hospitalization, and five young adults were later questioned.[486]"
58,9/11/14,0,1,"Taylorsville, Utah","Taylorsville, UT",Westbrook Elementary School,Elementary School,Gun fired unintentionally resulting in injury or death,"An elementary school teacher with a concealed weapon permit had her gun fire accidentally in a faculty bathroom. The bullet shattered a toilet, and fragments of both the bullet and the porcelain injured her leg.[487]"
59,9/27/14,0,1,"Terre Haute, Indiana","Nashville, TN",Tennessee State University,College or University,Attack on other persons(s) resulting in injury or death,"A 20-year-old Indiana State University student was shot by another student on Saturday inside a residence hall. The injuries were not fatal, and a full recovery was expected. The shooter was arrested on the following day.[488]"
60,9/30/14,0,1,"Albemarle, North Carolina","Albermarle, NC",Abermarle High school,High School,Attack on other persons(s) resulting in injury or death,"Two students got in an argument at Albemarle High School around 7:30Ã‚Â a.m. on Tuesday, and one of the students shot the other twice including once in the leg. The student who committed the shooting was allegedly involved in a stabbing of a football player last year at West Montgomery High School, which is only 20 miles (32Ã‚Â km) away in Mount Gilead, North Carolina. The school had held an active shooter training over the summer, which prepared the school for this incident.[489]"
61,9/30/14,0,1,"Albemarle, North Carolina","Louisville, KY",Fern Creek High School,High School,Attack on other persons(s) resulting in injury or death,"Two students got in an argument at Albemarle High School around 7:30Ã‚Â a.m. on Tuesday, and one of the students shot the other twice including once in the leg. The student who committed the shooting was allegedly involved in a stabbing of a football player last year at West Montgomery High School, which is only 20 miles (32Ã‚Â km) away in Mount Gilead, North Carolina. The school had held an active shooter training over the summer, which prepared the school for this incident.[489]"
62,9/30/14,0,1,"Louisville, Kentucky","Albermarle, NC",Abermarle High school,High School,Attack on other persons(s) resulting in injury or death,"One student was injured at Fern Creek Traditional High School. The incident occurred around 1Ã‚Â p.m., reportedly after student became enraged in a hallway and pulled out a gun. The student was arrested later that day.[490]"
63,9/30/14,0,1,"Louisville, Kentucky","Louisville, KY",Fern Creek High School,High School,Attack on other persons(s) resulting in injury or death,"One student was injured at Fern Creek Traditional High School. The incident occurred around 1Ã‚Â p.m., reportedly after student became enraged in a hallway and pulled out a gun. The student was arrested later that day.[490]"
64,10/3/14,1,0,"Fairburn, Georgia","Fairburn, GA",Langston Hughes High School,High School,Attack on other persons(s) resulting in injury or death,"After a homecoming football game, a fatal shooting of 17-year-old Kristofer Hunter, occurred in the Langston Hughes High School parking lot. The assailant, 18-year-old Eric Dana Johnson Jr., turned himself in a week later.[491]"
65,10/24/14,5,1,"Marysville, Washington","Marysville, WA",Marysville Pilchuck High School,High School,Attack on other persons(s) resulting in injury or death,"Marysville Pilchuck High School shooting. 15-year-old freshman, Jaylen Fryberg, shot five students in the school cafeteria of Marysville Pilchuck High School, fatally wounding four, before committing suicide.[411][492]"
